ID_num,job_title,Short_description,Skills_required,Industry,Pay_grade
534,Systems Administrator,Maintain and troubleshoot IT infrastructure and systems,System Administration; Networking; Troubleshooting; Scripting; Security,Technology,Average paying
535,Credit Analyst,Evaluate creditworthiness of individuals and organizations,Credit Analysis; Financial Statement Analysis; Risk Assessment; Regulatory Knowledge; Attention to Detail,Finance,Average paying
536,Training Coordinator,Organize and deliver training programs for employees,Training Development; Presentation Skills; Learning Management Systems; Communication; Organization,Human Resources,Average paying
537,Database Administrator,Manage and maintain database systems and data integrity,Database Management; SQL; Backup and Recovery; Performance Tuning; Security,Technology,Average paying
541,Laboratory Technician,Conduct scientific tests and experiments in laboratory settings,Laboratory Techniques; Data Collection; Scientific Equipment; Safety Protocols; Attention to Detail,Science & Research,Average paying
543,Health Information Technician,Manage and organize healthcare data and records,Medical Coding; Health Information Systems; Data Management; Privacy Regulations; Attention to Detail,Healthcare,Average paying
548,Manufacturing Engineer,Optimize manufacturing processes and production efficiency,Manufacturing Processes; Lean Manufacturing; CAD; Process Improvement; Quality Control,Manufacturing,Average paying
551,Help Desk Technician,Provide first-level technical support to end users,Technical Support; Troubleshooting; Customer Service; IT Systems; Communication,Technology,Low paying
554,Data Entry Clerk,Input and maintain accurate data in computer systems,Data Entry; Attention to Detail; Typing Speed; Database Software; Accuracy,Business Services,Low paying
557,Retail Sales Associate,Assist customers with purchases and product information,Customer Service; Sales Skills; Product Knowledge; Cash Handling; Communication,Retail,Low paying
559,Security Guard,Monitor premises and ensure safety and security,Security Procedures; Observation Skills; Communication; Physical Fitness; Emergency Response,Security,Low paying
560,Janitor,Maintain cleanliness and sanitation of facilities,Cleaning Techniques; Equipment Operation; Attention to Detail; Physical Stamina; Time Management,Cleaning Services,Low paying
563,Maintenance Worker,Perform routine maintenance and repairs on facilities,Maintenance Skills; Tool Usage; Problem Solving; Safety Protocols; Physical Skills,Maintenance Services,Low paying
565,Kitchen Assistant,Support kitchen operations in food service establishments,Food Preparation; Sanitation; Teamwork; Physical Stamina; Following Instructions,Food Service,Low paying
568,Housekeeping Aide,Clean and maintain residential or commercial properties,Cleaning Skills; Attention to Detail; Time Management; Physical Stamina; Reliability,Cleaning Services,Low paying
577,Principal Data Scientist,Lead data science initiatives and advanced analytics projects,Advanced Statistics; Machine Learning; Team Leadership; Business Strategy; Python/R,Technology,High paying
578,Senior DevOps Engineer,Design and implement CI/CD pipelines and infrastructure automation,DevOps; Kubernetes; Cloud Platforms; Infrastructure as Code; Automation,Technology,High paying
579,Enterprise Architect,Design enterprise-wide technology architecture and standards,Enterprise Architecture; System Integration; Technology Strategy; Leadership; Communication,Technology,High paying
584,Principal Software Engineer,Lead complex software development projects and technical decisions,Advanced Programming; System Design; Technical Leadership; Code Review; Mentoring,Technology,High paying
587,Chief Data Officer,Lead enterprise data strategy and governance initiatives,Data Strategy; Data Governance; Analytics; Leadership; Digital Transformation,Executive Leadership,High paying
590,VP of Engineering,Lead engineering organizations and technical strategy,Engineering Leadership; Technical Strategy; Team Building; Product Development; Innovation,Technology,High paying
593,Technical Support Engineer,Provide advanced technical support for software products,Technical Troubleshooting; Customer Service; Software Knowledge; Communication; Problem Solving,Technology,Average paying
598,Site Reliability Engineer,Ensure reliability and performance of production systems,System Reliability; Monitoring; Automation; Incident Response; Performance Optimization,Technology,Average paying
601,Junior Software Developer,Develop software applications under senior guidance,Programming; Debugging; Version Control; Testing; Learning Agility,Technology,Average paying
604,IT Support Specialist,Provide technical support for hardware and software issues,IT Support; Hardware Troubleshooting; Software Installation; Customer Service; Documentation,Technology,Average paying
620,Veterinary Technician,Assist veterinarians with animal care and medical procedures,Veterinary Medicine; Animal Handling; Medical Equipment; Patient Care; Attention to Detail,Animal Services,Average paying
633,Furniture Mover,Transport furniture and household items,Physical Strength; Lifting Techniques; Customer Service; Teamwork; Problem Solving,Moving Services,Low paying
637,Golf Course Maintenance,Maintain golf course grounds and facilities,Landscaping; Equipment Operation; Physical Labor; Attention to Detail; Early Hours,Recreation,Low paying
641,Senior Quality Engineer,Lead quality assurance programs and process improvements,Quality Management; Statistical Analysis; Process Improvement; Leadership; Compliance,Manufacturing,High paying
644,Senior Research Scientist,Conduct advanced research and lead scientific projects,Research Methodology; Scientific Analysis; Grant Writing; Team Leadership; Publication,Science & Research,High paying
649,Principal Solutions Architect,Design enterprise-level technical solutions,Solution Architecture; Technical Leadership; Client Consulting; System Integration; Innovation,Technology,High paying
651,Digital Product Manager,Manage digital product development and user experience,Product Management; Digital Strategy; User Experience; Agile Development; Analytics,Technology,Average paying
654,Network Engineer,Design and maintain network infrastructure,Network Engineering; Cisco Technologies; Troubleshooting; Security; Documentation,Technology,Average paying
655,Training Manager,Develop and oversee organizational training programs,Training Management; Curriculum Development; Adult Learning; Team Leadership; Assessment,Human Resources,Average paying
657,Email Marketing Specialist,Develop and execute email marketing campaigns,Email Marketing; Marketing Automation; A/B Testing; Analytics; Creative Writing,Marketing,Average paying
658,Application Support Analyst,Provide support for business applications and systems,Application Support; Troubleshooting; SQL; Business Analysis; Customer Service,Technology,Average paying
660,Facilities Manager,Manage building operations and maintenance,Facilities Management; Vendor Management; Maintenance Planning; Budgeting; Safety Compliance,Facilities Management,Average paying
664,Mail Clerk,Sort and distribute mail within organization,Mail Sorting; Organization; Attention to Detail; Physical Activity; Time Management,Postal Services,Low paying
672,Kitchen Prep Cook,Prepare ingredients and assist with food preparation,Food Preparation; Kitchen Safety; Sanitation; Teamwork; Time Management,Food Service,Low paying
674,Retail Stock Clerk,Receive and stock merchandise in retail stores,Inventory Management; Physical Labor; Attention to Detail; Organization; Teamwork,Retail,Low paying
683,Principal Engineer,Lead engineering excellence and technical innovation,Technical Leadership; Engineering Excellence; System Architecture; Mentoring; Innovation,Technology,High paying
685,Head of Data Science,Lead data science organization and AI initiatives,Data Science Leadership; Machine Learning; AI Strategy; Team Building; Advanced Analytics,Technology,High paying
690,Director of Engineering,Lead engineering teams and technical delivery,Engineering Management; Technical Strategy; Team Building; Product Development; Innovation,Technology,High paying
696,AI Prompt Engineer,Design and optimize prompts for AI language models,Prompt Engineering; NLP; Data Analysis; Creativity; Experimentation,Technology,High paying
698,Electric Vehicle Technician,Maintain and repair electric vehicles and charging stations,EV Systems; Diagnostics; Electrical Engineering; Safety Protocols; Problem Solving,Automotive,Average paying
702,Digital Health Coach,Guide clients in using technology for health and wellness,Health Coaching; Digital Tools; Communication; Motivation; Data Tracking,Healthcare,Average paying
703,3D Printing Technician,Operate and maintain 3D printers for various applications,3D Printing; CAD; Troubleshooting; Material Science; Attention to Detail,Manufacturing,Average paying
704,Online Fundraising Specialist,Plan and execute digital fundraising campaigns for nonprofits,Fundraising; Digital Marketing; Communication; Analytics; Campaign Management,Nonprofit,Average paying
706,Urban Mobility Planner,Design transportation solutions for growing cities,Urban Planning; Transportation Systems; Data Analysis; Communication; Innovation,Urban Development,Average paying
707,AI Ethics Consultant,Advise organizations on responsible AI use,Ethics; AI Policy; Communication; Risk Assessment; Research,Technology,High paying
708,Hydrogen Fuel Cell Technician,Maintain and repair hydrogen energy systems,Hydrogen Systems; Diagnostics; Electrical Engineering; Safety Protocols; Troubleshooting,Energy,Average paying
709,Digital Currency Compliance Officer,Ensure cryptocurrency operations meet legal standards,Compliance; Cryptocurrency; Regulatory Knowledge; Risk Management; Communication,Finance,High paying
710,Remote Learning Facilitator,Support students and teachers in virtual classrooms,Education Technology; Communication; Organization; Troubleshooting; Empathy,Education,Average paying
712,Plant-Based Food Developer,Create new vegan and vegetarian food products,Food Science; Nutrition; Product Development; Innovation; Quality Control,Food Production,Average paying
713,Digital Twin Analyst,Monitor and optimize virtual models of real-world systems,Data Analysis; Simulation; IoT; Problem Solving; Reporting,Technology,Average paying
714,Personal Cybersecurity Coach,Help individuals protect their digital lives,Cybersecurity; Communication; Training; Risk Assessment; Technology Awareness,Technology,Average paying
716,AI Model Validator,Test and verify machine learning models for accuracy,Machine Learning; Testing; Data Analysis; Documentation; Python,Technology,High paying
717,Digital Art Curator,Select and manage digital art collections,Art History; Digital Media; Curation; Communication; Research,Arts & Culture,Average paying
720,Remote Customer Success Trainer,Teach best practices for virtual client support,Training; Customer Success; Communication; Technology Skills; Coaching,Business Services,Average paying
721,AI Data Labeling Supervisor,Oversee teams tagging data for machine learning,Team Management; Data Annotation; Quality Control; Communication; Organization,Technology,Average paying
722,Digital Agriculture Consultant,Advise farms on technology adoption,Agriculture; Technology; Data Analysis; Communication; Project Management,Agriculture,High paying
724,Virtual Reality Safety Trainer,Develop VR-based safety training programs,VR Development; Safety Protocols; Instructional Design; Communication; Innovation,Technology,High paying
726,Digital Supply Chain Analyst,Monitor and optimize online supply networks,Supply Chain; Data Analysis; Technology; Problem Solving; Reporting,Logistics,Average paying
728,AI-Driven Content Strategist,Plan content using artificial intelligence tools,Content Strategy; AI Tools; Analytics; Communication; Creativity,Media & Publishing,High paying
730,Digital Accessibility Tester,Test websites and apps for accessibility compliance,Accessibility Standards; Testing; Reporting; Communication; Empathy,Technology,Average paying
731,Online Fitness Program Designer,Create digital exercise and wellness plans,Fitness; Program Design; Technology; Communication; Motivation,Fitness & Recreation,Average paying
733,AI-Powered Marketing Analyst,Leverage AI to optimize marketing campaigns,Marketing Analytics; AI Tools; Data Interpretation; Reporting; Communication,Marketing,High paying
734,Digital Fundraising Campaign Manager,Lead online donation drives for nonprofits,Fundraising; Digital Marketing; Campaign Management; Analytics; Communication,Nonprofit,Average paying
736,Remote IT Asset Manager,Track and manage distributed technology resources,IT Asset Management; Organization; Technology; Reporting; Communication,Technology,Average paying
737,Digital Health Data Analyst,Analyze patient data from digital health tools,Data Analysis; Healthcare; Reporting; Privacy; Technology,Healthcare,High paying
739,Remote HR Compliance Auditor,Ensure virtual teams follow employment laws,HR Compliance; Auditing; Communication; Documentation; Organization,Human Resources,High paying
740,AI Chatbot Designer,Create conversational flows for automated assistants,Conversation Design; AI Tools; UX; Scripting; Creativity,Technology,High paying
741,Digital Art Therapist,Use digital media for therapeutic interventions,Art Therapy; Digital Tools; Empathy; Communication; Creativity,Healthcare,Average paying
742,Online Peer Support Facilitator,Moderate digital mental health support groups,Facilitation; Empathy; Communication; Technology; Confidentiality,Healthcare,Average paying
744,Digital Product Tester,Test and review new digital products,Testing; Reporting; Technology; Communication; Attention to Detail,Technology,Average paying
747,Digital Customer Insights Analyst,Analyze online customer feedback and trends,Analytics; Data Interpretation; Reporting; Communication; Marketing,Marketing,Average paying
749,Online Community Engagement Specialist,Boost participation in digital groups,Community Management; Communication; Social Media; Creativity; Analytics,Technology,Average paying
751,Digital Sustainability Analyst,Track and report on environmental impact of tech,Environmental Science; Data Analysis; Reporting; Technology; Communication,Environmental Services,Average paying
753,Online Course Quality Reviewer,Ensure digital classes meet standards,Quality Assurance; Education; Technology; Reporting; Communication,Education,Average paying
755,Digital HR Data Analyst,Analyze workforce data for virtual teams,Data Analysis; HR; Reporting; Technology; Communication,Human Resources,Average paying
759,Digital Event Sponsorship Manager,Secure sponsors for virtual events,Sponsorship Sales; Event Planning; Communication; Negotiation; Technology,Event Planning,Average paying
761,Online Diversity & Inclusion Trainer,Deliver virtual D&I workshops,Training; Diversity & Inclusion; Communication; Technology; Empathy,Human Resources,Average paying
763,Digital Wellness App Coach,Guide users through health apps,Coaching; Wellness; Technology; Communication; Motivation,Wellness,Average paying
764,Remote Data Privacy Officer,Oversee digital privacy compliance,Data Privacy; Compliance; Technology; Communication; Risk Assessment,Technology,High paying
767,Digital Product Accessibility Advocate,Promote inclusive design in tech,Accessibility; Advocacy; Communication; Technology; UX,Technology,Average paying
771,Digital Content Licensing Manager,Oversee rights for online media,Licensing; Media Law; Negotiation; Communication; Organization,Media & Publishing,High paying
773,Online Product Usability Tester,Evaluate ease of use for digital tools,Usability Testing; UX; Reporting; Communication; Technology,Technology,Average paying
774,Remote Digital Marketing Trainer,Teach online marketing skills,Training; Digital Marketing; Communication; Technology; Coaching,Marketing,Average paying
775,Digital Customer Journey Analyst,Map and improve online user experiences,Customer Experience; Analytics; UX; Communication; Technology,Technology,Average paying
776,Remote IT Security Analyst,Monitor cybersecurity for distributed teams,Cybersecurity; Monitoring; Reporting; Technology; Communication,Technology,High paying
777,Online Community Policy Writer,Develop guidelines for digital groups,Policy Writing; Community Management; Communication; Technology; Research,Technology,Average paying
779,Digital Content Monetization Strategist,Develop revenue streams for online media,Monetization; Media Strategy; Analytics; Communication; Technology,Media & Publishing,High paying
783,Digital Product Lifecycle Manager,Oversee all stages of online product development,Product Management; Project Management; Technology; Communication; Analytics,Technology,High paying
784,Remote Employee Training Coordinator,Organize virtual learning sessions,Training; Organization; Communication; Technology; Scheduling,Human Resources,Average paying
785,Online Community Growth Hacker,Boost membership in digital groups,Growth Hacking; Marketing; Analytics; Communication; Technology,Technology,Average paying
786,Remote Digital Transformation Lead,Guide companies through tech adoption,Digital Strategy; Change Management; Communication; Technology; Leadership,Consulting,High paying
787,Digital Content Rights Analyst,Track and enforce online media usage,Rights Management; Analytics; Media Law; Communication; Technology,Media & Publishing,Average paying
790,Remote Employee Recognition Program Manager,Develop digital reward systems,Recognition Programs; HR; Communication; Technology; Organization,Human Resources,Average paying
791,Digital Brand Compliance Officer,Ensure online branding meets standards,Compliance; Branding; Communication; Technology; Reporting,Marketing,Average paying
792,Remote Learning Platform Administrator,Manage digital education systems,Platform Administration; Technology; Communication; Troubleshooting; Organization,Education,Average paying
794,Remote Digital HR Specialist,Support virtual HR operations,HR; Technology; Communication; Organization; Reporting,Human Resources,Average paying
795,Digital Customer Advocacy Manager,Champion user needs in online products,Advocacy; Customer Experience; Communication; Technology; Problem Solving,Technology,Average paying
796,Remote Technical Training Developer,Create online tech learning content,Instructional Design; Technology; Communication; Training; Creativity,Technology,Average paying
797,Online Community Crisis Moderator,Handle emergencies in digital groups,Crisis Management; Community Management; Communication; Technology; Empathy,Technology,Average paying
798,Remote Digital Brand Manager,Oversee online brand presence,Brand Management; Marketing; Communication; Technology; Strategy,Marketing,Average paying
799,Digital Product Feedback Analyst,Analyze user input for online tools,Analytics; Feedback Management; Communication; Technology; Reporting,Technology,Average paying
800,Remote Employee Benefits Specialist,Manage virtual perks and insurance,HR; Benefits Administration; Communication; Technology; Compliance,Human Resources,Average paying
802,Remote Digital Marketing Analyst,Track online campaign performance,Analytics; Marketing; Reporting; Technology; Communication,Marketing,Average paying
803,Digital Customer Support Chatbot Trainer,Improve automated help systems,Chatbot Training; AI Tools; Communication; Technology; UX,Technology,Average paying
805,Online Product Security Tester,Find vulnerabilities in digital tools,Security Testing; Technology; Reporting; Communication; Problem Solving,Technology,High paying
807,Digital Customer Experience Program Manager,Lead initiatives to improve online service,Program Management; Customer Experience; Communication; Technology; Analytics,Technology,High paying
810,Remote Digital HR Compliance Lead,Ensure virtual teams follow employment laws,HR Compliance; Auditing; Communication; Documentation; Organization,Human Resources,High paying
811,Digital Product Knowledge Base Manager,Maintain online help resources,Knowledge Management; Writing; Technology; Communication; Organization,Technology,Average paying
814,Remote Digital Brand Strategist,Plan online brand direction,Brand Strategy; Marketing; Communication; Technology; Analytics,Marketing,High paying
815,Digital Customer Loyalty Analyst,Study retention trends in online services,Analytics; Customer Experience; Reporting; Communication; Technology,Marketing,Average paying
817,Online Product Accessibility Tester,Check digital tools for inclusive design,Accessibility Testing; UX; Reporting; Communication; Technology,Technology,Average paying
818,Remote Employee Wellness App Coordinator,Promote digital health tools for staff,Wellness; HR; Technology; Communication; Program Management,Human Resources,Average paying
819,Digital Product Release Manager,Oversee online tool launches,Release Management; Product Management; Communication; Technology; Organization,Technology,High paying
820,Remote Digital Marketing Campaign Lead,Direct virtual ad initiatives,Campaign Management; Marketing; Communication; Technology; Analytics,Marketing,High paying
821,Online Community Engagement Data Analyst,Track participation in digital groups,Analytics; Community Management; Reporting; Communication; Technology,Technology,Average paying
822,Remote Technical Support Content Writer,Create help articles for online users,Technical Writing; Support; Technology; Communication; Organization,Technology,Average paying
823,Digital Product User Researcher,Study online user behavior,User Research; Analytics; Communication; Technology; Reporting,Technology,Average paying
824,Remote Employee Training App Developer,Build digital learning tools,App Development; Training; Technology; Communication; UX,Technology,High paying
825,Online Product Feature Prioritization Analyst,Rank new ideas for digital tools,Product Management; Analytics; Communication; Technology; Decision Making,Technology,Average paying
826,Remote Digital Brand Insights Manager,Analyze trends for online brands,Brand Insights; Analytics; Communication; Technology; Reporting,Marketing,High paying
827,Digital Customer Support Quality Auditor,Review online help interactions,Quality Assurance; Customer Service; Communication; Technology; Reporting,Technology,Average paying
829,Online Product Usage Data Analyst,Study how users interact with digital tools,Usage Analytics; Reporting; Communication; Technology; Data Interpretation,Technology,Average paying
831,Digital Product Translation Coordinator,Manage localization for online tools,Translation; Project Management; Communication; Technology; Organization,Technology,Average paying
832,Remote Digital Marketing Content Planner,Schedule posts for online campaigns,Content Planning; Marketing; Communication; Technology; Organization,Marketing,Average paying
833,Online Community Safety Specialist,Protect digital groups from abuse,Safety Protocols; Community Management; Communication; Technology; Crisis Response,Technology,Average paying
834,Remote Technical Interview Content Developer,Write questions for coding assessments,Content Creation; Technology; Communication; Assessment; Organization,Technology,Average paying
835,Digital Product User Feedback Moderator,Review and organize online suggestions,Moderation; Feedback Management; Communication; Technology; Reporting,Technology,Average paying
836,Remote Employee Benefits Data Analyst,Study usage of virtual perks,Analytics; HR; Reporting; Communication; Technology,Human Resources,Average paying
837,Online Product Security Compliance Lead,Ensure digital tools meet safety standards,Security Compliance; Technology; Communication; Auditing; Reporting,Technology,High paying
838,Remote Digital Brand Content Editor,Review online marketing materials,Editing; Content Creation; Marketing; Communication; Technology,Marketing,Average paying
839,Digital Customer Support Training Lead,Teach best practices for online help,Training; Customer Service; Communication; Technology; Coaching,Technology,Average paying
842,Remote Employee Recognition Data Analyst,Track digital reward program results,Analytics; HR; Reporting; Communication; Technology,Human Resources,Average paying
843,Digital Product User Persona Developer,Create profiles for online tool users,Persona Development; Research; Communication; Technology; Creativity,Technology,Average paying
844,Remote Digital Marketing Automation Lead,Oversee online campaign workflows,Automation; Marketing; Technology; Communication; Project Management,Marketing,High paying
845,Online Community Content Scheduler,Plan posts for digital groups,Content Scheduling; Community Management; Communication; Technology; Organization,Technology,Average paying
846,Remote Technical Support Quality Lead,Audit help desk performance,Quality Assurance; Technical Support; Communication; Technology; Reporting,Technology,Average paying
847,Digital Product User Testing Coordinator,Organize online usability studies,User Testing; Project Management; Communication; Technology; Reporting,Technology,Average paying
849,Online Product Feature Documentation Writer,Describe new digital tool functions,Documentation; Writing; Technology; Communication; Organization,Technology,Average paying
850,Remote Digital Brand Campaign Analyst,Study results of online promotions,Analytics; Marketing; Reporting; Communication; Technology,Marketing,Average paying
851,Remote Podcast Editor,Edit and produce audio for remote podcast teams,Audio Editing; Podcast Production; Communication; Technology; Attention to Detail,Media & Publishing,Average paying
852,Online Sustainability Course Instructor,Teach environmental topics via digital platforms,Teaching; Environmental Science; Communication; Technology; Curriculum Design,Education,Average paying
853,Remote Digital Illustration Artist,Create illustrations for online media and brands,Digital Art; Creativity; Communication; Technology; Branding,Media & Publishing,Average paying
854,Virtual Reality Tour Guide,Lead immersive tours in VR environments,VR Technology; Communication; Storytelling; Customer Service; Creativity,Tourism,Average paying
857,Remote Digital PR Specialist,Manage public relations for online brands,PR Strategy; Communication; Digital Media; Writing; Analytics,Marketing,Average paying
859,Remote Digital Accessibility Advocate,Promote accessible design in virtual spaces,Accessibility; Advocacy; Communication; Technology; UX,Technology,Average paying
860,Online Nutrition Coach,Provide dietary advice via digital platforms,Nutrition; Coaching; Communication; Technology; Motivation,Healthcare,Average paying
861,Remote Digital Advertising Buyer,Purchase and optimize online ad placements,Advertising; Analytics; Negotiation; Communication; Technology,Marketing,Average paying
863,Remote Digital Fundraising Strategist,Plan and execute online giving campaigns,Fundraising; Digital Strategy; Communication; Analytics; Project Management,Nonprofit,Average paying
865,Remote Digital Event Ticketing Manager,Oversee ticket sales for virtual events,Ticketing Systems; Event Management; Communication; Technology; Customer Service,Event Planning,Average paying
866,Online Digital Rights Manager,Protect and manage intellectual property online,IP Law; Digital Media; Communication; Technology; Compliance,Legal Services,Average paying
867,Remote Digital Product Demo Host,Present product features to online audiences,Presentation; Product Knowledge; Communication; Technology; Sales,Sales,Average paying
868,Online Digital Art Instructor,Teach art techniques via digital platforms,Art Instruction; Digital Tools; Communication; Creativity; Technology,Education,Average paying
869,Remote Digital Community Safety Lead,Develop and enforce safety policies for online groups,Community Management; Safety Protocols; Communication; Technology; Policy Writing,Technology,Average paying
870,Online Digital Brand Licensing Coordinator,Manage licensing agreements for online brands,Licensing; Contract Management; Communication; Technology; Negotiation,Marketing,Average paying
871,Remote Digital Customer Onboarding Lead,Guide new users through digital product setup,Onboarding; Customer Service; Communication; Technology; Training,Technology,Average paying
872,Online Digital Product QA Lead,Oversee quality assurance for online tools,QA Testing; Technology; Communication; Leadership; Reporting,Technology,Average paying
873,Remote Digital Content Planner,Strategize and schedule online content releases,Content Strategy; Planning; Communication; Technology; Organization,Media & Publishing,Average paying
874,Online Digital Brand Researcher,Study trends and competitors in online branding,Market Research; Analytics; Communication; Technology; Reporting,Marketing,Average paying
875,Remote Digital Product Launch Analyst,Analyze and report on virtual product launches,Analytics; Product Management; Communication; Technology; Reporting,Technology,Average paying
876,Online Digital Customer Training Lead,Develop and deliver online training for customers,Training; Communication; Technology; Curriculum Design; Customer Service,Technology,Average paying
877,Remote Digital Brand Engagement Analyst,Track and improve online brand engagement,Analytics; Engagement Strategy; Communication; Technology; Reporting,Marketing,Average paying
878,Online Digital Product Security Analyst,Monitor and report on digital product security,Security Analysis; Technology; Communication; Reporting; Risk Assessment,Technology,High paying
879,Remote Digital Product Feedback Lead,Manage user feedback for online products,Feedback Management; Communication; Technology; Analytics; Reporting,Technology,Average paying
880,Online Digital Brand Content Strategist,Plan and oversee online brand content,Content Strategy; Branding; Communication; Technology; Analytics,Marketing,Average paying
881,Remote Digital Product Support Lead,Oversee support operations for digital products,Support Management; Communication; Technology; Leadership; Problem Solving,Technology,Average paying
882,Online Digital Brand Analytics Lead,Lead analytics for online brand performance,Analytics; Branding; Communication; Technology; Reporting,Marketing,High paying
883,Remote Digital Product Marketing Lead,Direct marketing for digital products,Marketing Strategy; Product Marketing; Communication; Technology; Analytics,Marketing,High paying
884,Online Digital Community Growth Lead,Drive growth for online communities,Community Management; Growth Strategy; Communication; Technology; Analytics,Technology,Average paying
885,Remote Digital Product Documentation Analyst,Analyze and improve product documentation,Documentation; Analysis; Communication; Technology; Writing,Technology,Average paying
886,Online Digital Brand Partnership Lead,Build partnerships for online brands,Partnerships; Branding; Communication; Technology; Negotiation,Marketing,Average paying
887,Remote Digital Product Analytics Analyst,Analyze data for digital product teams,Analytics; Data Interpretation; Communication; Technology; Reporting,Technology,Average paying
888,Online Digital Brand Campaign Lead,Lead online brand campaigns,Campaign Management; Branding; Communication; Technology; Analytics,Marketing,Average paying
889,Remote Digital Product Usability Analyst,Test and report on product usability,Usability Testing; UX; Communication; Technology; Reporting,Technology,Average paying
890,Online Digital Brand Content Analyst,Analyze and report on brand content,Content Analysis; Branding; Communication; Technology; Reporting,Marketing,Average paying
891,Remote Digital Product Engagement Lead,Increase user engagement for digital products,Engagement Strategy; Communication; Technology; Analytics; Reporting,Technology,Average paying
892,Online Digital Brand Insights Analyst,Provide insights on online brand performance,Analytics; Branding; Communication; Technology; Reporting,Marketing,Average paying
893,Remote Digital Product Release Analyst,Manage and analyze product releases,Release Management; Analytics; Communication; Technology; Reporting,Technology,Average paying
894,Online Digital Brand Experience Lead,Enhance online brand experiences,Brand Experience; Communication; Technology; UX; Analytics,Marketing,Average paying
895,Remote Digital Product Training Analyst,Develop training for digital product users,Training; Communication; Technology; Curriculum Design; Analytics,Technology,Average paying
896,Online Digital Brand Loyalty Analyst,Analyze and improve brand loyalty,Analytics; Loyalty Programs; Communication; Technology; Reporting,Marketing,Average paying
897,Remote Digital Product Content Analyst,Analyze and optimize product content,Content Analysis; Communication; Technology; Analytics; Reporting,Technology,Average paying
898,Online Digital Brand Retention Analyst,Increase retention for online brands,Retention Strategy; Analytics; Communication; Technology; Reporting,Marketing,Average paying
899,Remote Digital Product Growth Analyst,Drive growth for digital products,Growth Strategy; Analytics; Communication; Technology; Reporting,Technology,Average paying
900,Online Digital Brand Experience Analyst,Analyze and improve brand experiences,Brand Experience; Analytics; Communication; Technology; Reporting,Marketing,Average paying
901,Remote Digital Product Insights Analyst,Provide insights for digital product teams,Analytics; Data Interpretation; Communication; Technology; Reporting,Technology,Average paying
902,Online Digital Brand Engagement Lead,Lead engagement strategies for online brands,Engagement Strategy; Branding; Communication; Technology; Analytics,Marketing,Average paying
903,Remote Digital Product Loyalty Analyst,Increase loyalty for digital products,Loyalty Programs; Analytics; Communication; Technology; Reporting,Technology,Average paying
904,Online Digital Brand Growth Analyst,Analyze and drive brand growth,Growth Strategy; Analytics; Communication; Technology; Reporting,Marketing,Average paying
905,Remote Digital Product Experience Analyst,Enhance user experience for digital products,UX; Analytics; Communication; Technology; Reporting,Technology,Average paying
906,Online Digital Brand Support Analyst,Support online brand operations,Support; Branding; Communication; Technology; Organization,Marketing,Average paying
907,Remote Digital Product Campaign Analyst,Analyze digital product campaigns,Campaign Analysis; Analytics; Communication; Technology; Reporting,Technology,Average paying
908,Online Digital Brand Training Analyst,Develop training for brand teams,Training; Branding; Communication; Technology; Curriculum Design,Marketing,Average paying
909,Remote Digital Product Content Lead,Lead content strategy for digital products,Content Strategy; Communication; Technology; Analytics; Leadership,Technology,Average paying
910,Online Digital Brand Documentation Analyst,Analyze and improve brand documentation,Documentation; Branding; Communication; Technology; Writing,Marketing,Average paying
911,Remote Digital Product Partnership Analyst,Build partnerships for digital products,Partnerships; Analytics; Communication; Technology; Negotiation,Technology,Average paying
912,Online Digital Brand Release Analyst,Manage and analyze brand releases,Release Management; Branding; Communication; Technology; Reporting,Marketing,Average paying
913,Remote Digital Product Experience Lead,Lead user experience for digital products,UX; Leadership; Communication; Technology; Analytics,Technology,High paying
914,Online Digital Brand Insights Lead,Lead insights for online brands,Analytics; Branding; Communication; Technology; Reporting,Marketing,High paying
915,Remote Digital Product Retention Analyst,Increase retention for digital products,Retention Strategy; Analytics; Communication; Technology; Reporting,Technology,Average paying
916,Online Digital Brand Content Lead,Lead content for online brands,Content Strategy; Branding; Communication; Technology; Leadership,Marketing,Average paying
917,Remote Digital Product Documentation Lead,Lead documentation for digital products,Documentation; Leadership; Communication; Technology; Writing,Technology,Average paying
918,Online Digital Brand Partnership Analyst,Analyze partnerships for online brands,Partnerships; Analytics; Communication; Technology; Reporting,Marketing,Average paying
919,Remote Digital Product Campaign Lead,Lead campaigns for digital products,Campaign Management; Analytics; Communication; Technology; Leadership,Technology,Average paying
920,Online Digital Brand Experience Lead,Lead brand experience strategies,Brand Experience; Leadership; Communication; Technology; Analytics,Marketing,High paying
921,Remote Digital Product Growth Lead,Lead growth for digital products,Growth Strategy; Leadership; Communication; Technology; Analytics,Technology,High paying
922,Online Digital Brand Support Lead,Lead support for online brands,Support; Branding; Leadership; Communication; Technology,Marketing,Average paying
923,Remote Digital Product Insights Lead,Lead insights for digital product teams,Analytics; Leadership; Communication; Technology; Reporting,Technology,High paying
924,Online Digital Brand Retention Lead,Lead retention strategies for online brands,Retention Strategy; Leadership; Communication; Technology; Analytics,Marketing,Average paying
925,Remote Digital Product Experience Lead,Lead user experience for digital products,UX; Leadership; Communication; Technology; Analytics,Technology,High paying
926,Online Digital Brand Training Lead,Lead training for brand teams,Training; Branding; Leadership; Communication; Technology,Marketing,Average paying
927,Remote Digital Product Content Analyst,Analyze and optimize product content,Content Analysis; Communication; Technology; Analytics; Reporting,Technology,Average paying
